DELITOS COMETIDOS EN JUJUY - MUESTRA;;;;;;;;;;;
;;;;;;;;;;;
;dependencia;delito;;;victima;;inculpado;;delito;;
;ordinal;nominal;ordinal;ordinal;nominal;discreta;nominal;discreta;nominal;nominal;nominal
cod_lugar;comisaria;delito;fecha;hora;sexo_victima;edad_victima;sexo_inculpado;edad_inculpado;localidad;modus_operandis;detalle_de_lugar
2;14;HURTO;30/7/2018;03:00;MASCULINO;62;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;37;ABANDONO DE PERSONA;8/8/2018;13:05;;;;;LA ESPERANZA;Sustracción Bienes Rodados;Via Publica
2;23;INTENTO DE SUICIDIO;29/8/2018;03:20;FEMENINO;43;;;RODEITO;AGRESION CON SUSTANCIAS;Domicilio Particular
2;56;hurto;29/8/2018;12:30;FEMENINO;;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
3;37;ROBO;20/7/2018;19:00;MASCULINO;64;MASCULINO;24;HUMAHUACA;AGRESION FISICA;Via Publica
3;49;HURTO;9/7/2018;10:03;FEMENINO;27;FEMENINO;;TILCARA;AGRESION FISICA;Domicilio Particular
3;24;ROBO;12/8/2018;04:00;MASCULINO;17;MASCULINO;;HUMAHUACA;Agresión Física;Via Publica
3;2;ROBO;24/8/2018;01:00;MASCULINO;43;MASCULINO;;TILCARA;Agresión Física;Via Publica
3;43;ROBO;9/7/2018;10:15;MASCULINO;35;;;;AGRESION FISICA;Via Publica
3;46;ROBO;14/7/2018;16:30;MASCULINO;19;;;TILCARA;SUSTRACCION DE BIENES RODADOS;Via Publica
3;9;ROBO;14/7/2018;15:00;MASCULINO;39;;;TILCARA;SUSTRACCION DE BIENES RODADOS;Via Publica
3;61;ROBO;15/7/2018;18:30;MASCULINO;19;;;LIBERTADOR GRAL. SAN MARTIN;SUSTRACCION DE BIENES RODADOS;Via Publica
4;10;ROBO;27/7/2018;21:00;MASCULINO;43;MASCULINO;;LIBERTADOR GRAL. SAN MARTIN;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
4;39;ROBO;17/8/2018;00:30;MASCULINO;31;MASCULINO;;LIBERTADOR GRAL. SAN MARTIN;Sustracción Bienes Rodados;Via Publica
4;43;ROBO;10/7/2018;00:15;FEMENINO;23;;;LIBERTADOR GRAL. SAN MARTIN;SUSTRACCION DE BIENES RODADOS;Via Publica
4;57;HURTO;13/7/2018;01:00;FEMENINO;18;;;CALILEGUA;SUSTRACCION DE BIENES RODADOS;Via Publica
4;37;HURTO;9/8/2018;15:00;FEMENINO;30;;;YUTO;Sustracción Bienes Rodados;Via Publica
4;59;HURTO;11/8/2018;00:00;FEMENINO;37;;;;Sustracción Bienes Rodados;Via Publica
4;3;ROBO;11/8/2018;18:45;FEMENINO;45;;;LIBERTADOR GRAL. SAN MARTIN;AGRESION CON ARMA BLANCA;Via Publica
4;20;HURTO;18/8/2018;20:30;FEMENINO;50;;;LIBERTADOR GRAL. SAN MARTIN;Sustracción Bienes Rodados;Via Publica
4;13;ROBO;24/8/2018;21:15;FEMENINO;41;;;LIBERTADOR GRAL. SAN MARTIN;Sustracción Bienes Rodados;Via Publica
4;58;ROBO;28/6/2018;22:00;MASCULINO;41;;;LIBERTADOR GRAL. SAN MARTIN;SUSTRACCION DE BIENES RODADOS;Via Publica
4;38;hurto;21/7/2018;07:00;MASCULINO;21;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
4;9;ROBO;21/7/2018;00:00;MASCULINO;21;;;LEDESMA;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
4;35;ROBO;21/7/2018;00:00;MASCULINO;58;;;LEDESMA;SUSTRACCION DE BIENES RODADOS;Via Publica
4;17;HURTO;22/7/2018;22:30;MASCULINO;24;;;CALILEGUA;SUSTRACCION DE BIENES RODADOS;Via Publica
4;54;ROBO;23/7/2018;16:30;MASCULINO;23;;;;AGRESION CON ARMA BLANCA;Via Publica
4;10;ROBO;31/7/2018;14:00;MASCULINO;48;;;LIBERTADOR GRAL. SAN MARTIN;Sustracción Bienes Rodados;Via Publica
4;4;HURTO;10/8/2018;23:00;MASCULINO;49;;;LIBERTADOR GRAL. SAN MARTIN;Sustracción Bienes Rodados;Via Publica
